fuck you,response_insults
you're shit,response_insults
fucking a.i,response_insults
go die,response_insults
die,response_insults
bitch,response_insults
fucker,response_insults
asshole,response_insults
shitbag,response_insults
piece of shit,response_insults
nigger,response_insults
fag,response_insults
faggot,response_insults
twink,response_insults
punk,response_insults
you're stupid,response_insults
dumbass,response_insults
retard,response_insults
moron,response_insults
loser,response_insults
fucktard,response_insults
motherfucker,response_insults
cunt,response_insults
pussy,response_insults
fuck off,response_insults
go to hell,response_insults
shut up,response_insults
lamer,response_insults
you're a slut,response_insults
fuck autumn,response_insults
autumn sucks,response_insults
fucking bot,response_insults
i hate you,response_insults
dickhead,response_insults
douchebag,response_insults
dick,response_insults
douche,response_insults
fuckin retard,response_insults
fuckin idiot,response_insults
bastard,response_insults
puto,response_insults
puta,response_insults
pendejo,response_insults
